SchoolName|ClassType|CourseId|DbNumber
----------|---------|--------|--------
中正|5|68|4
中正|5|71|4
中正|5|74|0
中正|5|78|0
中正|5|82|0
中正|5|87|0
中正|5|88|4
中正|5|89|0
中正|5|90|4
中正|5|91|0
中正|5|92|4
中正|5|93|4
中正|5|94|0
中正|5|107|0
仁武|5|71|0
仁武|5|74|0
仁武|5|78|0
仁武|5|82|0
仁武|5|87|0
仁武|5|88|0
仁武|5|89|0
仁武|5|90|7
仁武|5|91|0
仁武|5|92|7
仁武|5|93|0
仁武|5|94|0
仁武|5|102|7
仁武|5|107|7
右昌|5|68|3
右昌|5|71|3
右昌|5|74|0
右昌|5|78|0
右昌|5|82|0
右昌|5|87|0
右昌|5|88|3
右昌|5|89|0
右昌|5|90|5
右昌|5|91|0
右昌|5|92|5
右昌|5|93|0
右昌|5|94|0
右昌|5|97|1
右昌|5|105|1
右昌|5|107|2
正興|5|71|0
正興|5|74|0
正興|5|76|7
正興|5|78|7
正興|5|82|0
正興|5|87|0
正興|5|88|7
正興|5|89|0
正興|5|90|7
正興|5|91|0
正興|5|92|7
正興|5|93|0
正興|5|94|0
正興|5|107|0
向上|5|71|0
向上|5|74|0
向上|5|78|0
向上|5|82|0
向上|5|87|0
向上|5|88|0
向上|5|89|0
向上|5|90|12
向上|5|91|0
向上|5|92|12
向上|5|93|0
向上|5|94|0
向上|5|106|12
向上|5|107|12
東湖|5|71|0
東湖|5|74|0
東湖|5|78|0
東湖|5|82|0
東湖|5|87|0
東湖|5|88|0
東湖|5|89|0
東湖|5|90|0
東湖|5|91|0
東湖|5|92|0
東湖|5|93|0
東湖|5|94|0
東湖|5|107|0
板橋陽明|5|71|0
板橋陽明|5|74|0
板橋陽明|5|76|2
板橋陽明|5|78|2
板橋陽明|5|82|0
板橋陽明|5|87|0
板橋陽明|5|88|2
板橋陽明|5|89|0
板橋陽明|5|90|2
板橋陽明|5|91|0
板橋陽明|5|92|2
板橋陽明|5|93|0
板橋陽明|5|94|0
板橋陽明|5|107|0
高美館|5|68|1
高美館|5|71|1
高美館|5|74|0
高美館|5|78|0
高美館|5|82|0
高美館|5|87|0
高美館|5|88|1
高美館|5|89|0
高美館|5|90|1
高美館|5|91|0
高美館|5|92|1
高美館|5|93|0
高美館|5|94|0
高美館|5|107|0
敦南|5|71|0
敦南|5|74|0
敦南|5|78|0
敦南|5|82|0
敦南|5|87|0
敦南|5|88|0
敦南|5|89|0
敦南|5|90|15
敦南|5|91|0
敦南|5|92|15
敦南|5|93|0
敦南|5|94|0
敦南|5|104|15
敦南|5|107|15
龍華|0|69|8
龍華|5|69|2
龍華|5|70|2
龍華|5|71|12
龍華|5|74|0
龍華|5|76|13
龍華|5|78|13
龍華|5|82|0
龍華|5|87|0
龍華|5|88|25
龍華|5|89|0
龍華|5|90|32
龍華|5|91|0
龍華|5|92|32
龍華|5|93|25
龍華|5|94|0
龍華|5|97|7
龍華|5|107|7
