SchoolName|ClassType|CourseId|DbNumber
----------|---------|--------|--------
大安|1|23|9
大安|1|24|6
大安|1|25|4
大安|1|27|19
大安|1|50|2
大安|1|51|3
大安|1|54|5
大安|3|2|2
大安|3|4|2
大安|3|6|5
大安|3|9|9
大安|3|10|4
大安|3|11|2
大安|3|12|2
大安|3|16|8
大安|3|18|1
大安|3|21|1
大安|3|22|9
大安|3|48|0
大安|3|49|0
大安|3|59|0
大安|4|4|12
大安|4|9|12
大安|4|10|8
大安|4|11|23
大安|4|12|2
大安|4|16|33
大安|4|18|5
大安|4|19|30
大安|4|21|35
大安|4|22|13
大安|4|28|3
大安|4|45|7
大安|4|48|7
大安|4|49|1
大安|4|59|0
大安|5|32|3
大安|5|33|120
大安|5|34|0
大安|5|35|120
大安|5|36|137
大安|5|37|0
大安|5|38|0
大安|5|60|12
大安|5|61|0
大安|5|62|12
大安|5|63|13
大安|5|64|0
大安|5|65|0
大安|5|66|0
大安|5|67|132
中正|1|23|1
中正|1|25|3
中正|1|27|4
中正|1|54|0
中正|3|9|0
中正|3|12|2
中正|3|16|2
中正|3|21|0
中正|3|22|1
中正|3|48|0
中正|3|49|0
中正|3|59|0
中正|4|2|8
中正|4|4|2
中正|4|9|10
中正|4|10|5
中正|4|16|5
中正|4|21|0
中正|4|22|4
中正|4|40|4
中正|4|41|4
中正|4|48|8
中正|4|49|2
中正|4|59|0
中正|5|32|0
中正|5|33|21
中正|5|34|0
中正|5|35|21
中正|5|36|21
中正|5|37|5
中正|5|38|2
中正|5|60|8
中正|5|61|0
中正|5|62|8
中正|5|63|8
中正|5|64|3
中正|5|65|0
中正|5|66|0
中正|5|67|29
仁武|1|24|2
仁武|1|27|2
仁武|1|54|0
仁武|3|9|0
仁武|3|16|0
仁武|3|21|0
仁武|3|22|0
仁武|3|48|0
仁武|3|49|0
仁武|3|59|0
仁武|4|1|6
仁武|4|2|4
仁武|4|3|5
仁武|4|4|6
仁武|4|9|21
仁武|4|11|4
仁武|4|16|4
仁武|4|17|2
仁武|4|21|2
仁武|4|22|6
仁武|4|39|6
仁武|4|40|3
仁武|4|41|1
仁武|4|43|2
仁武|4|48|12
仁武|4|49|5
仁武|4|59|0
仁武|5|32|0
仁武|5|33|29
仁武|5|34|29
仁武|5|35|0
仁武|5|36|21
仁武|5|37|0
仁武|5|38|0
仁武|5|60|12
仁武|5|61|12
仁武|5|62|0
仁武|5|63|7
仁武|5|64|0
仁武|5|65|0
仁武|5|66|1
仁武|5|67|41
內湖|1|23|7
內湖|1|24|2
內湖|1|25|6
內湖|1|27|15
內湖|1|50|2
內湖|1|51|1
內湖|1|54|3
內湖|3|2|5
內湖|3|3|2
內湖|3|4|8
內湖|3|5|2
內湖|3|9|17
內湖|3|10|4
內湖|3|16|4
內湖|3|21|0
內湖|3|22|8
內湖|3|40|1
內湖|3|41|1
內湖|3|42|3
內湖|3|46|3
內湖|3|48|8
內湖|3|49|4
內湖|3|59|0
內湖|4|4|3
內湖|4|5|4
內湖|4|9|7
內湖|4|10|18
內湖|4|11|24
內湖|4|12|26
內湖|4|16|68
內湖|4|19|21
內湖|4|20|2
內湖|4|21|23
內湖|4|22|15
內湖|4|40|2
內湖|4|41|6
內湖|4|42|7
內湖|4|43|4
內湖|4|44|10
內湖|4|45|2
內湖|4|46|11
內湖|4|48|42
內湖|4|49|9
內湖|4|59|0
內湖|5|32|0
內湖|5|33|134
內湖|5|34|0
內湖|5|35|134
內湖|5|36|134
內湖|5|37|4
內湖|5|38|4
內湖|5|60|53
內湖|5|61|0
內湖|5|62|53
內湖|5|63|53
內湖|5|64|3
內湖|5|65|1
內湖|5|66|7
內湖|5|67|187
木柵|1|23|1
木柵|1|24|1
木柵|1|26|1
木柵|1|27|3
木柵|1|50|1
木柵|1|51|1
木柵|1|52|2
木柵|1|54|4
木柵|3|3|2
木柵|3|4|5
木柵|3|9|7
木柵|3|10|3
木柵|3|11|4
木柵|3|16|7
木柵|3|19|2
木柵|3|21|2
木柵|3|22|8
木柵|3|40|3
木柵|3|41|1
木柵|3|42|3
木柵|3|43|2
木柵|3|45|2
木柵|3|48|11
木柵|3|49|6
木柵|3|59|0
木柵|4|9|0
木柵|4|10|1
木柵|4|11|2
木柵|4|16|3
木柵|4|21|0
木柵|4|22|2
木柵|4|48|0
木柵|4|49|0
木柵|4|59|0
木柵|5|32|0
木柵|5|33|22
木柵|5|34|21
木柵|5|35|1
木柵|5|36|22
木柵|5|37|0
木柵|5|38|0
木柵|5|60|15
木柵|5|61|16
木柵|5|62|-1
木柵|5|63|15
木柵|5|64|0
木柵|5|65|0
木柵|5|66|3
木柵|5|67|37
古亭|1|23|4
古亭|1|24|7
古亭|1|25|2
古亭|1|27|13
古亭|1|54|0
古亭|3|2|2
古亭|3|3|2
古亭|3|4|3
古亭|3|5|2
古亭|3|6|3
古亭|3|9|12
古亭|3|10|3
古亭|3|16|3
古亭|3|19|1
古亭|3|21|1
古亭|3|22|8
古亭|3|48|0
古亭|3|49|0
古亭|3|59|0
古亭|4|9|0
古亭|4|10|5
古亭|4|11|4
古亭|4|16|9
古亭|4|18|2
古亭|4|21|2
古亭|4|22|4
古亭|4|43|2
古亭|4|48|2
古亭|4|49|1
古亭|4|59|0
古亭|5|32|0
古亭|5|33|40
古亭|5|34|0
古亭|5|35|40
古亭|5|36|40
古亭|5|37|0
古亭|5|38|1
古亭|5|60|2
古亭|5|61|0
古亭|5|62|2
古亭|5|63|2
古亭|5|64|0
古亭|5|65|0
古亭|5|66|2
古亭|5|67|42
右昌|0|66|6
右昌|1|23|1
右昌|1|27|1
右昌|1|54|0
右昌|1|67|71
右昌|3|3|2
右昌|3|5|2
右昌|3|9|4
右昌|3|16|0
右昌|3|21|0
右昌|3|22|2
右昌|3|48|0
右昌|3|49|0
右昌|3|59|0
右昌|4|3|6
右昌|4|4|9
右昌|4|5|2
右昌|4|9|17
右昌|4|10|14
右昌|4|11|13
右昌|4|12|10
右昌|4|16|37
右昌|4|19|9
右昌|4|20|3
右昌|4|21|12
右昌|4|22|14
右昌|4|48|0
右昌|4|49|0
右昌|4|59|0
右昌|5|32|0
右昌|5|33|71
右昌|5|34|0
右昌|5|35|71
右昌|5|36|71
右昌|5|37|3
右昌|5|38|3
右昌|5|60|0
右昌|5|61|0
右昌|5|62|0
右昌|5|63|0
右昌|5|64|0
右昌|5|65|3
正興|1|27|2
正興|1|51|1
正興|1|54|1
正興|3|9|0
正興|3|16|0
正興|3|21|0
正興|3|22|0
正興|3|48|0
正興|3|49|0
正興|3|59|0
正興|4|1|4
正興|4|2|6
正興|4|3|4
正興|4|4|8
正興|4|5|7
正興|4|6|7
正興|4|9|36
正興|4|10|18
正興|4|11|18
正興|4|12|12
正興|4|16|48
正興|4|18|16
正興|4|19|7
正興|4|21|23
正興|4|22|17
正興|4|24|2
正興|4|34|59
正興|4|36|109
正興|4|37|0
正興|4|38|0
正興|4|48|0
正興|4|49|0
正興|4|59|0
正興|4|61|0
正興|4|65|0
正興|4|154|6
正興|4|155|7
正興|4|156|5
正興|5|32|0
正興|5|33|109
正興|5|35|50
正興|5|60|1
正興|5|62|1
正興|5|63|1
正興|5|64|0
正興|5|66|0
正興|5|67|110
向上|1|23|3
向上|1|24|3
向上|1|27|6
向上|1|50|3
向上|1|51|1
向上|1|54|4
向上|3|3|4
向上|3|4|1
向上|3|5|1
向上|3|9|6
向上|3|12|6
向上|3|16|6
向上|3|18|2
向上|3|21|2
向上|3|22|7
向上|3|39|1
向上|3|40|3
向上|3|42|2
向上|3|43|2
向上|3|48|8
向上|3|49|4
向上|3|59|0
向上|4|3|5
向上|4|4|7
向上|4|9|12
向上|4|10|14
向上|4|11|4
向上|4|12|13
向上|4|16|31
向上|4|18|9
向上|4|19|6
向上|4|20|5
向上|4|21|20
向上|4|22|13
向上|4|40|9
向上|4|41|5
向上|4|48|14
向上|4|49|3
向上|4|59|0
向上|5|32|0
向上|5|33|83
向上|5|34|84
向上|5|35|-1
向上|5|36|96
向上|5|37|0
向上|5|38|1
向上|5|59|0
向上|5|60|26
向上|5|61|26
向上|5|62|26
向上|5|63|27
向上|5|64|1
向上|5|65|1
向上|5|66|1
向上|5|67|109
岡山|1|24|2
岡山|1|25|1
岡山|1|27|3
岡山|1|51|1
岡山|1|54|1
岡山|3|2|1
岡山|3|9|1
岡山|3|10|2
岡山|3|16|2
岡山|3|21|0
岡山|3|22|2
岡山|3|42|1
岡山|3|44|1
岡山|3|48|2
岡山|3|49|2
岡山|3|59|0
岡山|4|4|5
岡山|4|9|5
岡山|4|10|3
岡山|4|11|3
岡山|4|16|6
岡山|4|18|2
岡山|4|21|2
岡山|4|22|4
岡山|4|48|0
岡山|4|49|0
岡山|4|59|0
岡山|5|32|0
岡山|5|33|19
岡山|5|34|0
岡山|5|35|19
岡山|5|36|19
岡山|5|37|0
岡山|5|38|0
岡山|5|60|3
岡山|5|61|0
岡山|5|62|3
岡山|5|63|3
岡山|5|64|0
岡山|5|65|0
岡山|5|66|0
岡山|5|67|22
東安|1|23|4
東安|1|27|4
東安|1|54|0
東安|3|6|3
東安|3|9|3
東安|3|16|0
東安|3|21|0
東安|3|22|1
東安|3|43|1
東安|3|48|1
東安|3|49|1
東安|3|59|0
東安|4|2|2
東安|4|3|1
東安|4|4|11
東安|4|6|3
東安|4|9|17
東安|4|10|10
東安|4|12|4
東安|4|16|14
東安|4|18|5
東安|4|19|3
東安|4|20|2
東安|4|21|10
東安|4|22|10
東安|4|41|3
東安|4|42|4
東安|4|48|7
東安|4|49|2
東安|4|59|0
東安|5|32|0
東安|5|33|48
東安|5|34|0
東安|5|35|48
東安|5|36|48
東安|5|37|0
東安|5|38|5
東安|5|60|8
東安|5|61|0
東安|5|62|8
東安|5|63|8
東安|5|64|0
東安|5|65|4
東安|5|66|2
東安|5|67|56
東湖|1|27|0
東湖|1|54|0
東湖|3|9|0
東湖|3|16|0
東湖|3|21|0
東湖|3|22|0
東湖|3|48|0
東湖|3|49|0
東湖|3|59|0
東湖|4|9|0
東湖|4|16|0
東湖|4|21|0
東湖|4|22|0
東湖|4|48|0
東湖|4|49|0
東湖|4|59|0
東湖|5|32|0
東湖|5|33|0
東湖|5|34|0
東湖|5|35|0
東湖|5|36|0
東湖|5|37|1
東湖|5|38|1
東湖|5|60|0
東湖|5|61|0
東湖|5|62|0
東湖|5|63|0
東湖|5|64|1
東湖|5|65|0
東湖|5|66|0
東湖|5|67|0
板橋忠孝|1|24|1
板橋忠孝|1|25|1
板橋忠孝|1|27|2
板橋忠孝|1|54|0
板橋忠孝|3|4|14
板橋忠孝|3|5|4
板橋忠孝|3|9|18
板橋忠孝|3|16|0
板橋忠孝|3|17|1
板橋忠孝|3|21|1
板橋忠孝|3|22|9
板橋忠孝|3|40|3
板橋忠孝|3|41|5
板橋忠孝|3|42|2
板橋忠孝|3|45|1
板橋忠孝|3|48|11
板橋忠孝|3|49|6
板橋忠孝|3|59|0
板橋忠孝|4|3|2
板橋忠孝|4|9|2
板橋忠孝|4|11|4
板橋忠孝|4|12|16
板橋忠孝|4|16|20
板橋忠孝|4|19|5
板橋忠孝|4|20|7
板橋忠孝|4|21|12
板橋忠孝|4|22|7
板橋忠孝|4|43|3
板橋忠孝|4|48|3
板橋忠孝|4|49|1
板橋忠孝|4|59|0
板橋忠孝|5|32|0
板橋忠孝|5|33|55
板橋忠孝|5|34|0
板橋忠孝|5|35|55
板橋忠孝|5|36|55
板橋忠孝|5|37|3
板橋忠孝|5|38|2
板橋忠孝|5|60|14
板橋忠孝|5|61|0
板橋忠孝|5|62|14
板橋忠孝|5|63|14
板橋忠孝|5|64|0
板橋忠孝|5|65|1
板橋忠孝|5|66|1
板橋忠孝|5|67|69
板橋陽明|1|23|2
板橋陽明|1|27|2
板橋陽明|1|54|0
板橋陽明|3|3|3
板橋陽明|3|4|1
板橋陽明|3|6|3
板橋陽明|3|9|7
板橋陽明|3|16|0
板橋陽明|3|21|0
板橋陽明|3|22|3
板橋陽明|3|39|1
板橋陽明|3|40|2
板橋陽明|3|45|1
板橋陽明|3|48|4
板橋陽明|3|49|3
板橋陽明|3|59|0
板橋陽明|4|1|12
板橋陽明|4|2|9
板橋陽明|4|3|3
板橋陽明|4|4|10
板橋陽明|4|6|3
板橋陽明|4|9|37
板橋陽明|4|10|28
板橋陽明|4|11|14
板橋陽明|4|12|5
板橋陽明|4|16|47
板橋陽明|4|19|13
板橋陽明|4|21|13
板橋陽明|4|22|17
板橋陽明|4|42|8
板橋陽明|4|48|8
板橋陽明|4|49|2
板橋陽明|4|59|0
板橋陽明|5|32|0
板橋陽明|5|33|106
板橋陽明|5|34|0
板橋陽明|5|35|106
板橋陽明|5|36|106
板橋陽明|5|37|1
板橋陽明|5|38|8
板橋陽明|5|60|12
板橋陽明|5|61|0
板橋陽明|5|62|12
板橋陽明|5|63|12
板橋陽明|5|64|1
板橋陽明|5|65|1
板橋陽明|5|66|0
板橋陽明|5|67|118
河堤|1|23|2
河堤|1|24|4
河堤|1|25|7
河堤|1|27|13
河堤|1|50|1
河堤|1|51|3
河堤|1|54|4
河堤|3|9|0
河堤|3|16|0
河堤|3|21|0
河堤|3|22|0
河堤|3|48|0
河堤|3|49|0
河堤|3|59|0
河堤|4|2|7
河堤|4|4|16
河堤|4|5|11
河堤|4|6|5
河堤|4|9|39
河堤|4|10|19
河堤|4|11|19
河堤|4|12|20
河堤|4|16|58
河堤|4|18|20
河堤|4|19|15
河堤|4|21|35
河堤|4|22|23
河堤|4|41|5
河堤|4|42|3
河堤|4|43|3
河堤|4|44|7
河堤|4|45|2
河堤|4|46|2
河堤|4|48|22
河堤|4|49|6
河堤|4|59|0
河堤|5|32|0
河堤|5|33|145
河堤|5|34|145
河堤|5|35|0
河堤|5|36|157
河堤|5|37|0
河堤|5|38|0
河堤|5|60|26
河堤|5|61|0
河堤|5|62|26
河堤|5|63|22
河堤|5|64|0
河堤|5|65|0
河堤|5|66|3
河堤|5|67|171
南京|1|23|1
南京|1|25|4
南京|1|27|5
南京|1|50|1
南京|1|52|1
南京|1|54|2
南京|3|6|3
南京|3|9|3
南京|3|10|4
南京|3|11|5
南京|3|16|9
南京|3|21|0
南京|3|22|5
南京|3|42|1
南京|3|48|1
南京|3|49|1
南京|3|59|0
南京|4|2|5
南京|4|5|5
南京|4|9|10
南京|4|10|2
南京|4|12|10
南京|4|16|12
南京|4|19|12
南京|4|21|12
南京|4|22|7
南京|4|48|0
南京|4|49|0
南京|4|59|0
南京|5|32|0
南京|5|33|51
南京|5|34|0
南京|5|35|51
南京|5|36|51
南京|5|37|3
南京|5|38|1
南京|5|60|3
南京|5|61|0
南京|5|62|3
南京|5|63|3
南京|5|64|1
南京|5|65|0
南京|5|66|0
南京|5|67|54
高美館|1|24|2
高美館|1|27|2
高美館|1|51|1
高美館|1|54|1
高美館|3|9|0
高美館|3|10|2
高美館|3|16|2
高美館|3|19|2
高美館|3|21|2
高美館|3|22|2
高美館|3|48|0
高美館|3|49|0
高美館|3|59|2
高美館|4|3|4
高美館|4|5|5
高美館|4|6|11
高美館|4|9|20
高美館|4|10|9
高美館|4|11|19
高美館|4|12|11
高美館|4|16|39
高美館|4|21|0
高美館|4|22|11
高美館|4|28|11
高美館|4|29|1
高美館|4|39|3
高美館|4|40|7
高美館|4|41|14
高美館|4|42|3
高美館|4|43|4
高美館|4|48|31
高美館|4|49|7
高美館|4|56|2
高美館|4|59|2
高美館|5|32|12
高美館|5|33|77
高美館|5|34|79
高美館|5|35|-2
高美館|5|36|57
高美館|5|37|3
高美館|5|38|5
高美館|5|60|34
高美館|5|61|34
高美館|5|62|0
高美館|5|63|36
高美館|5|64|0
高美館|5|65|0
高美館|5|66|7
高美館|5|67|111
莊敬|1|25|1
莊敬|1|27|1
莊敬|1|54|0
莊敬|3|9|0
莊敬|3|16|0
莊敬|3|21|0
莊敬|3|22|0
莊敬|3|48|0
莊敬|3|49|0
莊敬|3|59|0
莊敬|4|3|9
莊敬|4|6|4
莊敬|4|9|13
莊敬|4|11|3
莊敬|4|13|3
莊敬|4|16|6
莊敬|4|21|0
莊敬|4|22|5
莊敬|4|48|0
莊敬|4|49|0
莊敬|4|59|0
莊敬|5|32|0
莊敬|5|33|20
莊敬|5|34|0
莊敬|5|35|20
莊敬|5|36|20
莊敬|5|37|0
莊敬|5|38|7
莊敬|5|60|0
莊敬|5|61|0
莊敬|5|62|0
莊敬|5|63|0
莊敬|5|64|0
莊敬|5|65|0
莊敬|5|66|0
莊敬|5|67|20
復興|1|24|1
復興|1|26|1
復興|1|27|2
復興|1|50|5
復興|1|52|1
復興|1|54|6
復興|3|1|2
復興|3|4|2
復興|3|9|4
復興|3|10|2
復興|3|16|2
復興|3|19|2
復興|3|21|2
復興|3|22|4
復興|3|40|2
復興|3|48|2
復興|3|49|1
復興|3|59|0
復興|4|1|4
復興|4|2|1
復興|4|3|3
復興|4|5|3
復興|4|9|11
復興|4|10|10
復興|4|11|4
復興|4|12|13
復興|4|16|27
復興|4|18|7
復興|4|20|2
復興|4|21|9
復興|4|22|14
復興|4|40|2
復興|4|41|2
復興|4|43|2
復興|4|48|6
復興|4|49|3
復興|4|59|0
復興|5|32|0
復興|5|33|57
復興|5|34|60
復興|5|35|-3
復興|5|36|76
復興|5|37|9
復興|5|38|12
復興|5|60|14
復興|5|61|0
復興|5|62|-2
復興|5|63|28
復興|5|64|1
復興|5|65|3
復興|5|66|6
復興|5|67|71
敦南|1|23|3
敦南|1|27|3
敦南|1|54|0
敦南|3|9|0
敦南|3|11|2
敦南|3|16|2
敦南|3|21|0
敦南|3|22|1
敦南|3|41|2
敦南|3|48|2
敦南|3|49|1
敦南|3|59|0
敦南|4|2|2
敦南|4|3|4
敦南|4|4|2
敦南|4|5|5
敦南|4|9|13
敦南|4|10|15
敦南|4|11|13
敦南|4|16|28
敦南|4|18|3
敦南|4|21|3
敦南|4|22|9
敦南|4|42|2
敦南|4|43|1
敦南|4|44|1
敦南|4|48|4
敦南|4|49|3
敦南|4|59|0
敦南|5|32|0
敦南|5|33|49
敦南|5|34|0
敦南|5|35|49
敦南|5|36|49
敦南|5|37|3
敦南|5|38|0
敦南|5|60|6
敦南|5|61|0
敦南|5|62|6
敦南|5|63|6
敦南|5|64|1
敦南|5|65|1
敦南|5|66|0
敦南|5|67|55
華夏|1|24|1
華夏|1|25|1
華夏|1|27|2
華夏|1|52|1
華夏|1|54|1
華夏|3|9|0
華夏|3|16|0
華夏|3|21|0
華夏|3|22|0
華夏|3|48|0
華夏|3|49|0
華夏|3|59|0
